date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:32	16523/16523	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-408b%22	http://kotlis.kwst.net/light/index.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/index.html	(from )
22:45:32	3785/3785	---MC-	424	error ('Failed%20Dependency')	text/html	date:Thu,%2028%20Oct%202021%2015:45:32%20GMT	http://kotlis.kwst.net/robots.txt		(from )
22:45:33	1107/1107	---M--	200	added ('OK')	text/css	etag:%225825bc44-453%22	http://kotlis.kwst.net/light/css/reset.css	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/css/reset.css	(from http://kotlis.kwst.net/light/index.html)
22:45:33	117146/117146	---MCZ	200	added ('OK')	text/css	etag:W/%225c13cdfa-1c99a%22	http://kotlis.kwst.net/light/css/plugins.css	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/css/plugins.css	(from http://kotlis.kwst.net/light/index.html)
22:45:34	71871/71871	---MCZ	200	added ('OK')	text/css	etag:W/%225d28398f-118bf%22	http://kotlis.kwst.net/light/css/style.css	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/css/style.css	(from http://kotlis.kwst.net/light/index.html)
22:45:34	318/318	---M--	200	added ('OK')	image/x-icon	etag:%225c17c892-13e%22	http://kotlis.kwst.net/light/images/favicon.ico	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/favicon.ico	(from http://kotlis.kwst.net/light/index.html)
22:45:34	1662/1662	---M--	200	added ('OK')	image/png	etag:%225c52e4e0-67e%22	http://kotlis.kwst.net/light/images/logo.png	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/images/logo.png	(from http://kotlis.kwst.net/light/index.html)
22:45:35	18029/18029	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-466d%22	http://kotlis.kwst.net/light/index2.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/index2.html	(from http://kotlis.kwst.net/light/index.html)
22:45:35	18564/18564	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-4884%22	http://kotlis.kwst.net/light/index3.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/index3.html	(from http://kotlis.kwst.net/light/index.html)
22:45:35	13465/13465	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-3499%22	http://kotlis.kwst.net/light/index4.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/index4.html	(from http://kotlis.kwst.net/light/index.html)
22:45:36	11385/11385	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-2c79%22	http://kotlis.kwst.net/light/index5.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/index5.html	(from http://kotlis.kwst.net/light/index.html)
22:45:36	16959/16959	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-423f%22	http://kotlis.kwst.net/light/index6.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/index6.html	(from http://kotlis.kwst.net/light/index.html)
22:45:36	12421/12421	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-3085%22	http://kotlis.kwst.net/light/index7.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/index7.html	(from http://kotlis.kwst.net/light/index.html)
22:45:37	21813/21813	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-5535%22	http://kotlis.kwst.net/light/portfolio.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/portfolio.html	(from http://kotlis.kwst.net/light/index.html)
22:45:37	28457/28457	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-6f29%22	http://kotlis.kwst.net/light/portfolio2.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/portfolio2.html	(from http://kotlis.kwst.net/light/index.html)
22:45:37	21822/21822	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-553e%22	http://kotlis.kwst.net/light/portfolio3.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/portfolio3.html	(from http://kotlis.kwst.net/light/index.html)
22:45:38	25680/25680	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-6450%22	http://kotlis.kwst.net/light/portfolio4.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/portfolio4.html	(from http://kotlis.kwst.net/light/index.html)
22:45:38	24761/24761	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-60b9%22	http://kotlis.kwst.net/light/portfolio5.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/portfolio5.html	(from http://kotlis.kwst.net/light/index.html)
22:45:38	24549/24549	---MCZ	200	added ('OK')	text/html	etag:W/%225f241f01-5fe5%22	http://kotlis.kwst.net/light/portfolio6.html	C:/Users/zzhen/Desktop/My%20Site/p1/kotlis.kwst.net/light/portfolio6.html	(from http://kotlis.kwst.net/light/index.html)
